XboxCn2

182.61.128.145	(中国 电信)
124.112.48.45	(中国安徽安庆 电信)
117.66.33.167	(中国安徽合肥 电信)
58.242.249.131	(中国安徽合肥 联通)
211.91.65.209	(中国安徽合肥 联通)
112.132.250.40	(中国安徽马鞍山 联通)
60.171.255.50	(中国安徽宿州 电信)
220.179.236.46	(中国安徽宣城 电信)
36.110.220.112	(中国北京 电信)
111.200.24.229	(中国北京 联通)
113.249.87.129	(中国重庆 电信)
113.250.168.2	(中国重庆 电信)
119.84.171.41	(中国重庆 电信)
183.66.103.184	(中国重庆 电信)
222.180.167.123	(中国重庆 电信)
58.144.228.63	(中国重庆 联通)
58.144.240.98	(中国重庆 联通)
218.201.40.225	(中国重庆 移动)
221.178.62.143	(中国重庆 移动)
120.39.213.137	(中国福建福州 电信)
121.204.225.177	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
36.250.233.4	(中国福建福州 联通)
220.249.135.15	(中国福建宁德 联通)
27.152.188.135	(中国福建泉州 电信)
36.249.80.84	(中国福建泉州 联通)
112.48.130.43	(中国福建厦门 移动)
112.48.137.126	(中国福建厦门 移动)
112.48.158.41	(中国福建厦门 移动)
125.74.134.72	(中国甘肃兰州 电信)
117.157.227.5	(中国甘肃兰州 移动)
121.14.142.190	(中国广东东莞 电信)
183.60.155.206	(中国广东东莞 电信)
116.31.102.52	(中国广东佛山 电信)
120.232.117.65	(中国广东佛山 移动)
120.240.48.74	(中国广东佛山 移动)
14.22.20.212	(中国广东广州 电信)
157.148.65.41	(中国广东广州 联通)
157.255.34.28	(中国广东广州 联通)
183.240.242.138	(中国广东广州 移动)
120.240.128.68	(中国广东惠州 移动)
120.232.141.15	(中国广东江门 移动)
183.240.90.144	(中国广东茂名 移动)
58.251.60.41	(中国广东深圳 联通)
111.45.68.127	(中国广东湛江 移动)
112.60.89.16	(中国广东湛江 移动)
183.237.146.115	(中国广东中山 移动)
182.91.196.169	(中国广西桂林 联通)
116.8.119.198	(中国广西南宁 电信)
36.136.78.1	(中国广西南宁 移动)
58.42.59.70	(中国贵州贵阳 电信)
111.123.248.39	(中国贵州贵阳 电信)
111.124.71.240	(中国贵州贵阳 电信)
111.124.206.129	(中国贵州贵阳 电信)
119.0.92.75	(中国贵州贵阳 电信)
61.243.27.191	(中国贵州贵阳 联通)
117.187.46.86	(中国贵州贵阳 移动)
116.171.87.193	(中国贵州黔南布依族苗族自治州 联通)
218.201.230.23	(中国贵州黔西南布依族苗族自治州 移动)
112.67.249.17	(中国海南海口 电信)
124.225.121.159	(中国海南海口 电信)
218.77.199.2	(中国海南海口 电信)
113.59.41.36	(中国海南海口 联通)
183.255.33.68	(中国海南海口 移动)
221.195.228.6	(中国河北沧州 联通)
123.182.94.79	(中国河北承德 电信)
121.17.252.9	(中国河北衡水 联通)
27.128.218.9	(中国河北廊坊 电信)
123.182.183.44	(中国河北廊坊 电信)
61.182.134.220	(中国河北石家庄 联通)
121.29.2.247	(中国河北石家庄 联通)
121.29.3.115	(中国河北石家庄 联通)
106.117.242.241	(中国河北唐山 电信)
60.6.0.138	(中国河北邢台 联通)
106.8.153.33	(中国河北张家口 电信)
123.13.185.5	(中国河南安阳 联通)
111.6.13.106	(中国河南安阳 移动)
221.15.64.1	(中国河南洛阳 联通)
221.15.70.53	(中国河南洛阳 联通)
219.155.150.41	(中国河南南阳 联通)
222.136.90.24	(中国河南濮阳 联通)
115.54.18.62	(中国河南新乡 联通)
1.194.194.165	(中国河南郑州 电信)
1.194.195.128	(中国河南郑州 电信)
36.99.33.7	(中国河南郑州 电信)
36.99.200.5	(中国河南郑州 电信)
123.6.17.78	(中国河南郑州 联通)
123.6.39.41	(中国河南郑州 联通)
123.6.79.5	(中国河南郑州 联通)
123.6.82.135	(中国河南郑州 联通)
123.6.84.18	(中国河南郑州 联通)
183.205.177.11	(中国河南郑州 移动)
61.163.111.157	(中国河南驻马店 联通)
42.101.23.52	(中国黑龙江哈尔滨 电信)
111.42.112.118	(中国黑龙江哈尔滨 移动)
111.42.193.79	(中国黑龙江哈尔滨 移动)
111.43.169.86	(中国黑龙江哈尔滨 移动)
1.56.98.24	(中国黑龙江鹤岗 联通)
218.10.9.80	(中国黑龙江齐齐哈尔 联通)
221.209.92.41	(中国黑龙江齐齐哈尔 联通)
113.6.84.25	(中国黑龙江绥化 联通)
113.7.203.9	(中国黑龙江绥化 联通)
111.180.137.95	(中国湖北十堰 电信)
