XboxCn1

60.167.226.211	(中国安徽合肥 电信)
220.205.125.43	(中国安徽合肥 联通)
60.171.255.52	(中国安徽宿州 电信)
223.247.113.52	(中国安徽芜湖 电信)
220.179.236.47	(中国安徽宣城 电信)
36.110.220.174	(中国北京 电信)
123.125.246.132	(中国北京 联通)
211.154.247.40	(中国北京 联通)
39.134.134.109	(中国北京 移动)
39.135.238.237	(中国北京 移动)
39.136.87.97	(中国北京 移动)
39.137.66.118	(中国北京 移动)
113.249.87.128	(中国重庆 电信)
119.86.194.231	(中国重庆 电信)
119.86.195.16	(中国重庆 电信)
219.152.87.112	(中国重庆 电信)
39.137.38.48	(中国重庆 移动)
221.178.100.43	(中国重庆 移动)
27.155.71.25	(中国福建福州 电信)
117.27.148.181	(中国福建福州 电信)
120.39.206.107	(中国福建福州 电信)
124.72.137.38	(中国福建福州 电信)
36.248.69.43	(中国福建福州 联通)
36.250.238.43	(中国福建福州 联通)
175.43.192.180	(中国福建福州 联通)
27.152.189.43	(中国福建泉州 电信)
117.24.11.133	(中国福建泉州 电信)
220.160.34.45	(中国福建泉州 电信)
117.31.116.56	(中国福建厦门 电信)
117.31.118.32	(中国福建厦门 电信)
60.165.67.152	(中国甘肃兰州 电信)
118.180.0.68	(中国甘肃兰州 电信)
125.74.14.107	(中国甘肃兰州 电信)
183.47.242.114	(中国广东潮州 电信)
113.105.142.117	(中国广东东莞 电信)
183.60.159.61	(中国广东东莞 电信)
14.29.72.182	(中国广东佛山 电信)
14.152.51.165	(中国广东佛山 电信)
119.147.142.189	(中国广东佛山 电信)
14.22.20.210	(中国广东广州 电信)
14.29.101.160	(中国广东广州 电信)
58.63.255.231	(中国广东广州 电信)
59.42.240.111	(中国广东广州 电信)
59.42.242.169	(中国广东广州 电信)
59.42.244.113	(中国广东广州 电信)
121.14.7.13	(中国广东广州 电信)
125.88.64.72	(中国广东广州 电信)
183.56.150.21	(中国广东广州 电信)
157.148.65.43	(中国广东广州 联通)
39.136.121.15	(中国广东惠州 移动)
120.240.138.43	(中国广东揭阳 移动)
39.136.122.144	(中国广东韶关 移动)
59.36.133.253	(中国广东深圳 电信)
183.36.7.124	(中国广东深圳 电信)
58.251.59.111	(中国广东深圳 联通)
58.251.60.153	(中国广东深圳 联通)
58.251.87.178	(中国广东深圳 联通)
112.95.6.52	(中国广东深圳 联通)
112.95.7.59	(中国广东深圳 联通)
157.255.188.43	(中国广东深圳 联通)
39.136.120.14	(中国广东深圳 移动)
14.119.92.7	(中国广东肇庆 电信)
14.152.112.29	(中国广东肇庆 电信)
121.12.67.12	(中国广东中山 电信)
113.106.96.62	(中国广东珠海 电信)
171.105.187.69	(中国广西南宁 电信)
36.136.121.60	(中国广西南宁 移动)
45.251.100.50	(中国贵州贵阳 电信)
111.123.57.103	(中国贵州贵阳 电信)
111.124.212.6	(中国贵州贵阳 电信)
113.125.206.187	(中国贵州贵阳 电信)
113.125.253.28	(中国贵州贵阳 电信)
119.0.79.9	(中国贵州贵阳 电信)
119.0.80.59	(中国贵州贵阳 电信)
220.197.201.50	(中国贵州贵阳 联通)
218.77.192.56	(中国海南海口 电信)
221.11.190.136	(中国海南海口 联通)
101.28.253.101	(中国河北邯郸 联通)
27.128.213.53	(中国河北廊坊 电信)
124.236.19.61	(中国河北石家庄 电信)
106.116.188.82	(中国河北唐山 电信)
101.72.219.71	(中国河北唐山 联通)
